date,amount,category,description
23-01-2025,450.0,Income,Freelance Work
15-02-2025,120.5,Expense,Groceries
10-03-2025,980.0,Income,Salary
28-01-2025,60.0,Expense,Snacks
05-04-2025,150.0,Expense,Mobile Recharge
12-05-2025,250.0,Expense,Electricity Bill
19-06-2025,1250.0,Income,Project Bonus
07-07-2025,300.0,Expense,Shopping
20-07-2025,125.5,Income,Salary
21-07-2025,90.0,Expense,Coffee
02-08-2025,75.0,Expense,Auto Fare
17-08-2025,110.0,Expense,Stationery
23-08-2025,800.0,Income,Part-time Work
01-09-2025,550.0,Expense,Clothes
09-09-2025,40.0,Expense,Snacks
15-09-2025,2300.0,Income,Stipend
18-09-2025,95.0,Expense,Movies
22-09-2025,680.0,Expense,Restaurant
04-10-2025,130.0,Expense,Books
11-10-2025,270.0,Expense,Online Subscription
14-10-2025,1500.0,Income,Research Grant
25-10-2025,90.0,Expense,Transport
27-10-2025,45.0,Expense,Tea
31-10-2025,350.0,Expense,Grocery Restock
03-11-2025,1950.0,Income,Monthly Salary
05-11-2025,200.0,Expense,Medicines
12-11-2025,120.0,Expense,Food Delivery
16-11-2025,300.0,Expense,Salon
18-11-2025,210.0,Expense,Accessories
21-11-2025,400.0,Expense,Home Items
02-12-2025,1000.0,Income,Side Income
04-12-2025,82.0,Expense,Snacks
06-12-2025,150.0,Expense,Auto Fare
09-12-2025,180.0,Expense,Stationery
15-12-2025,250.0,Expense,Gifts
19-12-2025,160.0,Expense,Lunch Out
21-12-2025,125.0,Expense,Online Course
26-12-2025,2000.0,Income,Project Payment
28-12-2025,310.0,Expense,Groceries
30-12-2025,90.0,Expense,Coffee
02-01-2026,500.0,Expense,Clothing
06-01-2026,3500.0,Income,Bonus
10-01-2026,120.0,Expense,Transport
13-01-2026,75.0,Expense,Snacks
17-01-2026,200.0,Expense,Phone Recharge
19-01-2026,145.0,Expense,Restaurant
23-01-2026,500.0,Expense,Home Essentials
28-01-2026,2200.0,Income,Salary
